Num,Mono Heat of formation [eV/atom] ,Mono Band gap [eV] ,Energy [eV] ,Magnetic  monolayer,Number of atoms ,Number of species ,Spin axis ,Unit cell area [Å2] ,angle_with_x (degrees),z_separation,lattice_a,lattice_b,lattice_c,lattice_beta,lattice_gamma,lattice_volume,composition_average_electrons,composition_num_atoms,composition_total_electrons,composition_weight,density,Bilayer Energy (eV),Bandgap PBE,Bandgap GW
125,-0.297,1.307,-36.966,0,10,3,3,34.919,169.1057466,0.262190621,6.350559831,6.351857809,27.78778793,90.00123754,119.9936284,970.7899388,2.298,20,588,1333.051048,2.280187767,-53.84824842,1.2504,3.2707
127,-0.391,0.354,-22.346,0,5,3,3,14.786,153.3583246,0.292008258,4.132283982,4.131589519,35.02089155,90.01208166,120.0082057,517.7608496,2.344,10,500,1215.8916,3.899552282,-41.71676003,0.8288,1.3375
128,-0.289,0.158,-21.279,0,5,3,3,15.902,116.5650355,0.28908641,4.294994436,4.294991922,35.08642481,90,120.0000194,560.5245274,2.164,10,572,1410.4516,4.178425508,-39.22695513,0.6814,0.8703
129,-0.355,0.412,-22.763,0,5,3,3,14.575,153.420426,0.286513883,4.096637568,4.096095905,35.0656759,89.9683779,119.9972331,509.5919357,2.35,10,464,1122.1016,3.656442367,-42.51291627,1.0471,1.5393
130,-0.297,0.121,-20.727,0,5,3,3,16.278,116.6171282,0.296281766,4.348133809,4.349230229,35.21304232,90.00536924,119.9903541,576.7554113,2.158,10,608,1504.2416,4.330868673,-38.16395623,0.6463,0.841
132,-0.31,0.111,-21.066,0,5,3,3,15.779,153.4639401,0.297901631,4.265596975,4.265630119,35.50246634,89.98715081,119.9920314,559.4831244,2.248,10,572,1406.9616,4.175844811,-38.97499168,1.0494,1.3305
133,-1.161,2.333,-23.886,0,5,3,3,9.068,83.45592027,0.165342303,3.238679662,3.238732472,28.78311189,89.99919641,120.0027356,261.4565191,2.586,10,96,198.84736,1.262901421,-36.87025426,2.4173,5.1643
134,-1.384,1.424,-63.082,0,10,3,3,30.945,151.3815496,0.171550011,3.977442255,7.758864068,45.72594262,90.00085442,90.00333085,1411.122404,2.992,20,512,1150.9872,1.354424822,-126.0931112,1.4175,4.1943
135,-0.613,2.508,-44.514,0,8,4,3,18.665,90,0.169661404,3.706377978,5.041654819,50.6470741,90,90,946.4053264,2.7625,16,240,508.0364,0.891387935,-87.93296107,2.4812,5.64
136,-0.328,4.121,-48.542,0,8,4,3,23.163,90,0.14824792,4.005078204,5.749122911,45.37120629,90,90,1044.703188,2.275,16,160,324.2886771,0.515451684,-111.2933695,4.0428,6.3108
137,-0.294,1.228,-10.614,0,3,3,3,12.611,0,0.24074795,3.816361805,3.816361805,28.72148937,90,120,362.2735858,2.563333333,6,204,467.5712,2.143187564,-21.32977962,1.3596,2.2454
138,-0.294,1.228,-10.614,0,3,3,3,12.611,0,0.236490616,3.810615463,3.810615463,28.8081777,90,120,362.2735858,2.563333333,6,204,467.5712,2.143187564,-21.3294737,0.9707,1.8339
139,-0.245,1.237,-10.186,0,3,3,3,13.734,0,0.250847911,3.990215971,3.990215971,28.69505261,90,120,395.6675758,2.413333333,6,240,564.8512,2.370569492,-20.30593691,1.4124,2.2701
140,-0.108,1.336,-10.542,0,3,3,3,12.795,0,0.244966717,3.834616202,3.834616202,28.87658717,90,120,367.7225825,2.473333333,6,204,467.78214,2.112381874,-21.15853667,1.3299,2.092
141,-0.16,1.151,-10.104,0,3,3,3,13.405,0,0.236150457,3.926448183,3.926448183,28.96408952,90,120,386.7143195,2.463333333,6,240,561.57214,2.411373022,-20.28993714,1.4608,1.4608
142,-0.124,0.982,-9.718,0,3,3,3,14.471,0,0.244322351,4.086163535,4.086163535,28.98549072,90,120,419.1242378,2.313333333,6,276,658.85214,2.61032319,-19.36898631,1.3493,2.0038
143,-0.442,1.188,-11.661,0,3,3,3,13.823,26.56505118,0.251648498,4.000141016,4.000141016,27.76825612,90,120,384.7953732,2.52,6,268,641.8988,2.770038593,-21.87225795,2.0876,2.9786
144,-0.471,1.02,-11.155,0,3,3,3,14.396,26.56505118,0.250521777,4.082612568,4.082612568,27.87165422,90,120,402.3182316,2.51,6,304,735.6888,3.036501698,-20.86180067,1.9044,2.6735
