Number,lattice_a,lattice_b,lattice_gamma,lattice_volume,composition_average_electrons,composition_num_atoms,composition_total_electrons,composition_weight,density,lattice area,monolayer PBE,monolayer hse,monolayer area,monolayer vaccun level,monolayer magnetic,pbe,gw
136,3.999915269,5.790988067,90,1044.703188,2.275,16,160,324.2886771,0.515451684,23.16346159,4.121,5.137,23.163,1.198,0,4.0428,6.3108
137,3.81605535,3.81605535,120,362.2735858,2.563333333,6,204,467.5712,2.143187564,14.56227843,1.228,1.839,12.611,3.109,0,1.3596,2.2454
145,4.188553303,4.188553303,120,440.0255534,2.51,6,304,735.6888,2.776293295,17.54397877,0.733,1.363,15.194,3.089,0,1.368,2.3484
154,4.303637126,4.303637126,120,463.1785239,2.426666667,6,304,744.0668,2.667550255,18.52129251,0.599,1.198,16.04,3.067,0,1.1977,2.1107
162,3.346594615,3.346594615,120,266.8244072,2.103333333,6,220,517.1122,3.218165155,11.19969552,0.572,0.994,9.699,4.472,0,0.3805,2.1118
169,3.433187066,3.433187066,120,282.8402021,2.27,6,256,605,3.551921289,11.78677343,1.136,1.594,10.208,4.749,0,0.7864,
170,4.890422994,3.518179717,90,566.4481462,2.383333333,12,256,555.8021544,1.629330411,17.20538699,2.263,3.21,17.205,3.532,0,2.2575,
171,5.235231934,3.61471838,90,623.8251228,2.373333333,12,328,743.3821544,1.978783899,18.9238891,1.535,2.322,18.924,3.466,0,1.5588,3.0062
172,5.220678237,3.514822861,90,598.3962008,2.44,12,256,565.5781544,1.569469558,18.34975922,1.416,2.225,18.35,3.402,0,1.4438,3.0668
173,4.857207904,3.71098577,90,601.5904284,2.283333333,12,328,743.8040344,2.053083957,18.02502941,1.615,2.44,18.025,3.922,0,1.7069,3.3986
174,3.800921887,3.800921887,90,435.0621006,1.663333333,12,284,627.3782571,2.394568739,14.44700719,0,0,14.447,3.223,0,0,0
175,4.033253777,4.033253777,90,480.0072128,1.673333333,12,288,626.4190771,2.167036915,16.26713603,0,0,16.267,2.594,0,0,0
176,3.837009079,3.837009079,90,685.891741,2.053333333,12,224,483.95976,1.171663165,14.72263867,4.194,5.531,14.723,2.086,0,4.2136,6.7783
177,3.75111925,3.173215274,90,386.6578153,2.76,12,280,619.34638,2.659842422,11.9031089,0,0.801,11.903,3.803,0,0,0
178,4.420748882,3.406562042,90,493.7634552,2.473333333,12,312,683.60878,2.298993726,15.05955534,0,0.428,15.06,3.932,0,0,0
179,4.725809794,3.507169842,90,544.5235092,2.463333333,12,384,871.18878,2.656713584,16.57421759,0,0,16.574,3.885,0,0,0
180,4.740980448,3.546460567,90,554.9831798,2.4,12,300,655.8604,1.962369052,16.81370021,0.455,2.023,16.814,3.699,1,0,0
181,5.026901224,3.636912991,90,604.9040764,2.39,12,372,843.4404,2.315351787,18.28240237,0.179,1.009,18.282,3.677,1,0,0
182,3.824295728,3.277190777,90,411.5360019,2.766666667,12,288,637.7976,2.573499831,12.53294669,0,0,12.533,3.584,0,0,0
183,5.079576951,3.578572581,90,599.6525561,2.45,12,328,726.768,2.01254317,18.1776348,1.485,2.265,18.178,3442,0,1.533,2.9994
